row_id,site,rating_raw,written_date,trip_type,text_len_chars,llm_sentiment,llm_score,llm_emotion,llm_safety,llm_pricing,llm_service,llm_cleanliness,llm_atmosphere,llm_problems,llm_price_perception,llm_recommendation,llm_revisit,llm_keywords
16,medina,4 of 5 bubbles,2026-01-04,Couples,294,Positive,4,Joy,Not_mentioned,Positive,Not_mentioned,Not_mentioned,Positive,[],Cheap,Yes,Not_mentioned,"[""artisan stalls"", ""cheap"", ""delicious"", ""old quarter"", ""discover""]"
17,medina,4 of 5 bubbles,2026-01-01,,445,Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Neutral,"[""Getting_lost"", ""Scam"", ""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""shops"", ""get lost"", ""false guides"", ""scam"", ""vehicles""]"
18,medina,4 of 5 bubbles,2025-12-28,Solo,402,Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"[""Safety"", ""Scam""]",Not_mentioned,Yes,Not_mentioned,"[""local flavor"", ""real Morocco"", ""mopeds"", ""money"", ""safety""]"
19,medina,1 of 5 bubbles,2025-12-21,Couples,708,Negative,1,Anger,Negative,Negative,Negative,Negative,Negative,"[""Scam"", ""Aggressive_vendors"", ""Safety""]",Expensive,No,No,"[""rotten city"", ""scams"", ""aggressive"", ""dirty"", ""unsafe""]"
20,medina,3 of 5 bubbles,2025-12-12,Couples,1036,Neutral,3,Neutral,Negative,Not_mentioned,Neutral,Not_mentioned,Neutral,"[""Getting_lost"", ""Navigation_difficulty""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""lost"", ""motorbikes"", ""narrow streets"", ""shops"", ""interesting""]"
21,medina,1 of 5 bubbles,2025-12-03,Couples,1040,Negative,2,Frustration,Not_mentioned,Negative,Negative,Not_mentioned,Neutral,"[""Scam"", ""High_prices"", ""Other""]",Expensive,Not_mentioned,Not_mentioned,"[""scam"", ""high prices"", ""fake craftsmanship"", ""shops"", ""doughnut""]"
22,medina,5 of 5 bubbles,2025-12-01,,465,Positive,4,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Neutral,[],Not_mentioned,Yes,Not_mentioned,"[""Google Maps"", ""navigation"", ""no fear"", ""guide"", ""happy""]"
23,medina,5 of 5 bubbles,2025-11-25,Couples,262,Positive,4,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""full of life"", ""local crafts"", ""alleys"", ""guide"", ""rare pearls""]"
24,medina,4 of 5 bubbles,2025-11-21,Solo,636,Neutral,3,Frustration,Negative,Positive,Neutral,Not_mentioned,Positive,"[""Other""]",Cheap,Not_mentioned,Not_mentioned,"[""oriental charm"", ""cheap food"", ""kindness"", ""souks"", ""hair salon injury""]"
25,medina,5 of 5 bubbles,2025-11-20,Couples,525,Positive,4,Joy,Negative,Not_mentioned,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""souks"", ""guide"", ""sensory overload"", ""motorbikes"", ""scammers""]"
26,medina,4 of 5 bubbles,2025-11-19,Friends,243,Positive,4,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""historic district"", ""red city"", ""narrow streets"", ""workshops"", ""bazaars""]"
27,medina,2 of 5 bubbles,2025-11-19,Couples,700,Negative,2,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Neutral,"[""Scam"", ""Safety""]",Not_mentioned,No,Not_mentioned,"[""Eastern landscape"", ""Fez"", ""fraudsters"", ""scam"", ""night""]"
28,medina,5 of 5 bubbles,2025-11-18,Couples,1390,Neutral,3,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""souvenir shops"", ""craftsmen"", ""must"", ""narrow walkway"", ""vehicles""]"
29,medina,5 of 5 bubbles,2025-11-17,,409,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""special place"", ""UNESCO"", ""local culture"", ""sunset"", ""vibrant""]"
30,medina,4 of 5 bubbles,2025-11-16,Couples,1971,Neutral,3,Caution,Negative,Negative,Negative,Not_mentioned,Positive,"[""Scam"", ""Aggressive_vendors""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""bargains"", ""pitfalls"", ""scam"", ""barter""]"
31,medina,5 of 5 bubbles,2025-11-13,,300,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Yes,"[""beautiful"", ""fascinating"", ""exquisite"", ""guide""]"
32,medina,4 of 5 bubbles,2025-11-12,Couples,154,Positive,4,Trust,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Neutral,[],Not_mentioned,Yes,Not_mentioned,"[""narrow roads"", ""shops"", ""nice vendors""]"
33,medina,5 of 5 bubbles,2025-11-11,Couples,258,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Neutral,Not_mentioned,Neutral,"[""Navigation_difficulty"", ""Getting_lost""]",Not_mentioned,Yes,Not_mentioned,"[""guides"", ""navigation"", ""getting lost"", ""worth""]"
34,medina,4 of 5 bubbles,2025-11-10,Couples,590,Negative,2,Frustration,Negative,Negative,Negative,Not_mentioned,Negative,"[""Aggressive_vendors"", ""High_prices"", ""Overcrowding""]",Expensive,No,Not_mentioned,"[""chaotic traffic"", ""aggressive vendors"", ""rip off"", ""haggling""]"
35,medina,5 of 5 bubbles,2025-11-09,Couples,367,Positive,4,Joy,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""chaos"", ""noise"", ""traffic"", ""special"", ""different""]"
36,medina,3 of 5 bubbles,2025-11-07,Friends,486,Positive,4,Joy,Negative,Negative,Negative,Not_mentioned,Positive,"[""Scam"", ""Aggressive_vendors"", ""Overcrowding""]",Not_mentioned,Yes,Not_mentioned,"[""must visit"", ""crowded"", ""stalls"", ""scam""]"
37,medina,2 of 5 bubbles,2025-11-05,,883,Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Negative,Negative,"[""Safety"", ""Overcrowding"", ""Bad_smell""]",Not_mentioned,No,Not_mentioned,"[""unsafe"", ""motorcycles"", ""congestion"", ""exhaust""]"
38,medina,4 of 5 bubbles,2025-11-05,,559,Neutral,3,Caution,Not_mentioned,Neutral,Negative,Not_mentioned,Positive,"[""Aggressive_vendors"", ""Poor_condition""]",Not_mentioned,Yes,Not_mentioned,"[""mad"", ""chaotic"", ""must-see"", ""aggressive"", ""haggling""]"
39,medina,4 of 5 bubbles,2025-11-04,Solo,244,Positive,4,Relief,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""not bothered"", ""fine"", ""souvenirs"", ""spices""]"
40,medina,2 of 5 bubbles,2025-11-02,Couples,644,Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Negative,Negative,"[""Safety"", ""Bad_smell"", ""Overcrowding""]",Not_mentioned,No,No,"[""mopeds"", ""dangerous"", ""exhaust smell"", ""unbearable""]"
41,medina,5 of 5 bubbles,2025-11-01,Friends,5406,Positive,4,Joy,Neutral,Not_mentioned,Not_mentioned,Positive,Positive,"[""Poor_condition""]",Not_mentioned,Yes,Not_mentioned,"[""charming"", ""clean"", ""spacious"", ""wifi""]"
42,medina,5 of 5 bubbles,2025-10-31,Couples,133,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""vibrant"", ""markets"", ""chaos"", ""unforgettable""]"
43,medina,1 of 5 bubbles,2025-10-27,,180,Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Safety"", ""Scam""]",Not_mentioned,No,No,"[""robbed"", ""scooter"", ""disgraceful"", ""unsafe""]"
44,medina,5 of 5 bubbles,2025-10-25,Friends,234,Neutral,3,Caution,Negative,Neutral,Negative,Not_mentioned,Neutral,"[""Aggressive_vendors"", ""Safety""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""shopping"", ""haggling"", ""vendors"", ""misunderstandings""]"
45,medina,5 of 5 bubbles,2025-10-22,,137,Positive,5,Joy,Not_mentioned,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""nice"", ""helpful guide"", ""pleasant trip"", ""great show""]"
46,medina,1 of 5 bubbles,2025-10-20,Solo,853,Negative,1,Sadness,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"[""Poor_condition"", ""Other""]",Not_mentioned,No,Not_mentioned,"[""distressing"", ""donkey"", ""animal cruelty"", ""poor condition"", ""exhaustion""]"
47,medina,3 of 5 bubbles,2025-10-19,Couples,392,Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Negative,Neutral,"[""Overcrowding"", ""Safety"", ""Other""]",Not_mentioned,No,Not_mentioned,"[""mopeds"", ""pollution"", ""accidents"", ""narrow streets""]"
48,medina,4 of 5 bubbles,2025-10-14,,137,Positive,4,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Positive,"[""Aggressive_vendors""]",Not_mentioned,Yes,Not_mentioned,"[""worth visiting"", ""great experience"", ""aggressive locals"", ""asking price""]"
49,medina,3 of 5 bubbles,2025-10-11,Friends,755,Negative,2,Sadness,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Poor_condition""]",Not_mentioned,No,Not_mentioned,"[""earthquake damage"", ""closed off"", ""construction"", ""no atmosphere""]"
50,medina,4 of 5 bubbles,2025-10-10,,673,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,"[""Aggressive_vendors""]",Not_mentioned,Yes,Not_mentioned,"[""photographer"", ""locals"", ""stalls"", ""tiring"", ""interesting""]"
51,medina,4 of 5 bubbles,2025-10-07,Couples,116,Neutral,3,Disappointment,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""beautiful medina"", ""restricted access"", ""Muslims only""]"
52,medina,4 of 5 bubbles,2025-10-07,Couples,759,Positive,5,Joy,Not_mentioned,Positive,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Fair,Yes,Not_mentioned,"[""hospitable"", ""friendly"", ""reasonable price"", ""natural products"", ""hellish taxi""]"
53,medina,5 of 5 bubbles,2025-09-30,Friends,158,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Yes,"[""must visit"", ""souks"", ""haggling"", ""worth it""]"
54,medina,4 of 5 bubbles,2025-09-28,Couples,931,Positive,4,Surprise,Not_mentioned,Negative,Not_mentioned,Not_mentioned,Positive,"[""Other""]",Not_mentioned,Yes,Not_mentioned,"[""World Heritage Site"", ""architectural treasures"", ""cultural treasures"", ""no bargaining""]"
55,medina,5 of 5 bubbles,2025-09-14,,183,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""amazing"", ""old city"", ""history"", ""hand looms""]"
56,medina,3 of 5 bubbles,2025-09-12,Couples,275,Negative,2,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"[""Navigation_difficulty"", ""Aggressive_vendors""]",Not_mentioned,No,No,"[""dropped off far"", ""hassled"", ""not impressed"", ""narrow streets""]"
57,medina,4 of 5 bubbles,2025-09-11,Couples,216,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Neutral,Negative,Neutral,"[""Bad_smell"", ""Poor_cleanliness"", ""Other""]",Not_mentioned,Yes,Not_mentioned,"[""essential experience"", ""narrow lanes"", ""bad smells"", ""rats"", ""guide recommended""]"
58,medina,1 of 5 bubbles,2025-08-21,,1542,Negative,1,Disgust,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Negative,"[""Other"", ""Scam""]",Not_mentioned,No,No,"[""hated"", ""beautiful architecture"", ""horrible"", ""animal cruelty"", ""tourist traps""]"
59,medina,4 of 5 bubbles,2025-08-20,,351,Neutral,3,Frustration,Not_mentioned,Neutral,Negative,Not_mentioned,Neutral,"[""Aggressive_vendors"", ""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""bustling souk"", ""haggling"", ""fake goods"", ""hassle"", ""food tour""]"
60,medina,3 of 5 bubbles,2025-08-18,Couples,729,Negative,2,Frustration,Negative,Negative,Negative,Negative,Negative,"[""Aggressive_vendors"", ""Safety"", ""Poor_cleanliness""]",Not_mentioned,No,No,"[""overwhelming"", ""frightening"", ""aggressive"", ""haggle"", ""avoid""]"
61,medina,5 of 5 bubbles,2025-08-08,,2364,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Overcrowding"", ""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""exciting"", ""relentless"", ""souks"", ""scooters"", ""intensity""]"
62,medina,4 of 5 bubbles,2025-08-03,Couples,131,Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Scam"", ""Navigation_difficulty""]",Not_mentioned,No,Not_mentioned,"[""confusing"", ""scam"", ""attempted scam"", ""around the corner""]"
63,medina,5 of 5 bubbles,2025-08-02,,280,Positive,5,Joy,Positive,Positive,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Fair,Yes,Not_mentioned,"[""super nice"", ""safe"", ""friendly"", ""prices listed"", ""not pushy""]"
64,medina,4 of 5 bubbles,2025-07-30,,209,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Overcrowding"", ""Getting_lost""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""alternates"", ""crowds"", ""deserted alleys"", ""get lost"", ""Riads""]"
65,medina,2 of 5 bubbles,2025-07-23,,570,Negative,1,Disgust,Negative,Negative,Negative,Negative,Negative,"[""Poor_condition"", ""Poor_cleanliness"", ""Other""]",Expensive,No,No,"[""sloppy"", ""dirty"", ""not welcoming"", ""uncomfortable"", ""tourist is a wallet""]"
66,medina,2 of 5 bubbles,2025-07-09,,201,Negative,1,Sadness,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Poor_condition""]",Not_mentioned,No,No,"[""earthquake"", ""damage"", ""no longer frequentable"", ""difficult"", ""be careful""]"
67,medina,3 of 5 bubbles,2025-07-07,Couples,147,Negative,2,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Safety""]",Not_mentioned,No,Not_mentioned,"[""beautiful"", ""unsafe"", ""afraid"", ""narrow streets"", ""selling""]"
68,medina,5 of 5 bubbles,2025-06-28,,516,Neutral,3,Neutral,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""fun place"", ""alleyways"", ""motorbikes"", ""close calls"", ""less crowded""]"
69,medina,4 of 5 bubbles,2025-06-21,Friends,494,Positive,5,Surprise,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""relaxed"", ""not harassed"", ""safe"", ""worth a visit"", ""good restaurants""]"
70,medina,1 of 5 bubbles,2025-06-15,Couples,908,Negative,1,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"[""Aggressive_vendors"", ""Safety""]",Not_mentioned,No,Not_mentioned,"[""manhandled"", ""aggressive"", ""forced"", ""henna"", ""be warned""]"
71,medina,5 of 5 bubbles,2025-06-14,Business,157,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""great city"", ""red city"", ""beautiful grounds"", ""never regret"", ""in love""]"
72,medina,5 of 5 bubbles,2025-06-12,,179,Positive,4,Trust,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""shouldn't miss"", ""alleyways"", ""shop"", ""meet locals"", ""safe""]"
73,medina,3 of 5 bubbles,2025-06-12,Couples,758,Neutral,3,Neutral,Neutral,Neutral,Positive,Negative,Positive,"[""Other""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""treasures"", ""friendly"", ""vigilant"", ""pollution"", ""well organized""]"
74,medina,2 of 5 bubbles,2025-06-10,Couples,620,Negative,1,Anger,Negative,Negative,Negative,Not_mentioned,Negative,"[""High_prices"", ""Scam"", ""Getting_lost""]",Expensive,No,No,"[""overrated"", ""rip you off"", ""dishonest"", ""get lost"", ""zero tourism""]"
75,medina,4 of 5 bubbles,2025-06-07,Couples,424,Neutral,3,Frustration,Negative,Not_mentioned,Negative,Not_mentioned,Positive,"[""Aggressive_vendors"", ""Overcrowding"", ""Safety""]",Not_mentioned,Not_mentioned,Yes,"[""Marrakech"", ""medina"", ""fabulous"", ""pushy sellers"", ""mopeds""]"
76,medina,1 of 5 bubbles,2025-05-30,Friends,880,Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Safety"", ""Other""]",Not_mentioned,No,No,"[""sexual assault"", ""harassed"", ""unsafe"", ""vigilant"", ""women""]"
77,medina,4 of 5 bubbles,2025-05-29,,141,Neutral,3,Neutral,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,"[""Overcrowding"", ""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""medina"", ""narrow alleys"", ""souks"", ""crowded"", ""visit""]"
78,medina,1 of 5 bubbles,2025-05-22,Couples,376,Negative,1,Disgust,Not_mentioned,Not_mentioned,Not_mentioned,Negative,Negative,"[""Poor_cleanliness"", ""Bad_smell"", ""Other""]",Not_mentioned,No,No,"[""disappointed"", ""filthy"", ""smelly"", ""lack of hygiene"", ""rotten meat""]"
79,medina,1 of 5 bubbles,2025-05-21,Couples,603,Negative,1,Fear,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Safety"", ""Other""]",Not_mentioned,No,No,"[""unsafe"", ""knife"", ""shock"", ""moped"", ""robbery""]"
80,medina,4 of 5 bubbles,2025-05-21,,133,Neutral,3,Frustration,Not_mentioned,Not_mentioned,Negative,Not_mentioned,Positive,"[""Aggressive_vendors""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""beautiful"", ""pressured"", ""haggle"", ""clothing"", ""square""]"
81,medina,2 of 5 bubbles,2025-05-20,Couples,809,Negative,1,Anger,Not_mentioned,Negative,Negative,Not_mentioned,Negative,"[""Scam"", ""High_prices"", ""Poor_condition""]",Expensive,No,No,"[""scam"", ""food vendors"", ""mediocre"", ""bad food"", ""deceptive""]"
82,medina,4 of 5 bubbles,2025-05-15,Couples,278,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""authentic"", ""cultural diversity"", ""enriching"", ""amusing"", ""experience""]"
83,medina,5 of 5 bubbles,2025-05-12,,259,Positive,5,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""awesome"", ""Medina"", ""main square"", ""must see"", ""busier""]"
84,medina,5 of 5 bubbles,2025-05-11,Couples,136,Positive,5,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""friendly"", ""safe"", ""exceptional"", ""change of scenery"", ""medina""]"
85,medina,5 of 5 bubbles,2025-05-09,,118,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""evolves"", ""tourism"", ""medina"", ""change of scenery"", ""bustle""]"
86,medina,5 of 5 bubbles,2025-05-09,Couples,1164,Positive,5,Joy,Positive,Not_mentioned,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Yes,"[""incredible"", ""warm"", ""engaging"", ""people"", ""positive experience""]"
87,medina,4 of 5 bubbles,2025-05-09,,957,Positive,4,Joy,Not_mentioned,Neutral,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""medina"", ""souks"", ""bargaining"", ""pleasant"", ""traders""]"
88,medina,4 of 5 bubbles,2025-05-03,Couples,486,Neutral,4,Neutral,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Navigation_difficulty"", ""Overcrowding""]",Not_mentioned,Yes,Not_mentioned,"[""vibrant"", ""fascinating"", ""chaotic charm"", ""narrow alleys"", ""scooters""]"
89,medina,5 of 5 bubbles,2025-04-27,Couples,154,Neutral,3,Neutral,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Neutral,[],Not_mentioned,Not_mentioned,Not_mentioned,"[""Medina"", ""Unesco"", ""attractions"", ""Bahia Palace"", ""Majorelle Gardens""]"
90,medina,3 of 5 bubbles,2025-04-27,,950,Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Positive,"[""Safety"", ""Overcrowding""]",Not_mentioned,Not_mentioned,Not_mentioned,"[""fabulous"", ""gorgeous"", ""dangerous"", ""mopeds"", ""speeding""]"
91,medina,4 of 5 bubbles,2025-04-26,Couples,2226,Positive,5,Joy,Positive,Not_mentioned,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""exhilarating"", ""vibrant"", ""safe"", ""fun"", ""unforgettable""]"
92,medina,5 of 5 bubbles,2025-04-26,Friends,463,Positive,4,Trust,Neutral,Not_mentioned,Positive,Not_mentioned,Positive,"[""Navigation_difficulty""]",Not_mentioned,Yes,Not_mentioned,"[""mass of humanity"", ""narrow streets"", ""amazing souks"", ""friendly"", ""not to miss""]"
93,medina,4 of 5 bubbles,2025-04-18,,134,Negative,2,Frustration,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Overcrowding"", ""Safety""]",Not_mentioned,No,Not_mentioned,"[""small streets"", ""motorcycles"", ""crazy"", ""less enjoyable""]"
94,medina,1 of 5 bubbles,2025-04-16,,241,Negative,1,Anger,Negative,Not_mentioned,Not_mentioned,Not_mentioned,Negative,"[""Overcrowding"", ""Safety""]",Not_mentioned,No,Not_mentioned,"[""ruined"", ""2 wheels"", ""impossible to stroll"", ""on guard"", ""ban""]"
95,medina,5 of 5 bubbles,2025-04-13,,749,Positive,4,Joy,Positive,Neutral,Positive,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""walking tour"", ""great guide"", ""felt safe"", ""comfortable"", ""souks""]"
96,medina,5 of 5 bubbles,2025-04-11,,553,Positive,4,Trust,Positive,Neutral,Not_mentioned,Not_mentioned,Positive,[],Not_mentioned,Yes,Not_mentioned,"[""must see"", ""enormous"", ""safe"", ""haggling"", ""entertainers""]"
97,medina,4 of 5 bubbles,2025-04-08,Couples,118,Positive,4,Joy,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,Not_mentioned,[],Not_mentioned,Yes,Not_mentioned,"[""Medina"", ""Jemma el Fna"", ""Souks"", ""absolutely""]"
